GSE18648	Sohn P, Cox M, Chen D, Serra R
GSE6653	Huaxia Qin 1, Michael W Y Chan, Sandya Liyanarachchi, Curtis Balch, Dustin Potter, Irene J Souriraj, Alfred S L Cheng, Francisco J Agosto-Perez, Elena V Nikonova, Pearlly S Yan, Huey-Jen Lin, Kenneth P Nephew, Joel H Saltz, Louise C Showe, Tim H M Huang, Ramana V Davuluri
GSE28569	A Deshiere 1, E Duchemin-Pelletier, E Spreux, D Ciais, F Combes, Y Vandenbrouck, Y Couté, I Mikaelian, S Giusiano, C Charpin, C Cochet, O Filhol
GSE23952	Kevin A Maupin 1, Arkadeep Sinha, Emily Eugster, Jeremy Miller, Julianna Ross, Vincent Paulino, Venkateshwar G Keshamouni, Nhan Tran, Michael Berens, Craig Webb, Brian B Haab
GSE68164	Valentina Doldi 1, Maurizio Callari 1, Elisa Giannoni 2, Francesca D'Aiuto 1, Massimo Maffezzini 3, Riccardo Valdagni 4 5, Paola Chiarugi 2, Paolo Gandellini 1, Nadia Zaffaroni 
GSE17708	Maureen A Sartor 1, Vasudeva Mahavisno, Venkateshwar G Keshamouni, James Cavalcoli, Zachary Wright, Alla Karnovsky, Rork Kuick, H V Jagadish, Barbara Mirel, Terry Weymouth, Brian Athey, Gilbert S Omenn
GSE16416	Mott GA, Costales JA, Burleigh BA.
GSE60880	Bradley G, Barrett SJ
GSE46903	Jia Xue 1, Susanne V Schmidt 1, Jil Sander 1, Astrid Draffehn 1, Wolfgang Krebs 1, Inga Quester 1, Dominic De Nardo 2, Trupti D Gohel 1, Martina Emde 1, Lisa Schmidleithner 1, Hariharasudan Ganesan 1, Andrea Nino-Castro 1, Michael R Mallmann 1, Larisa Labzin 2, Heidi Theis 1, Michael Kraut 1, Marc Beyer 1, Eicke Latz 3, Tom C Freeman 4, Thomas Ulas 1, Joachim L Schultze 5
GSE47542	Sanjay Chandriani 1, Daryle J DePianto 1, Elsa N N'Diaye 1, Alexander R Abbas 1, Janet Jackman 1, Jack Bevers 3rd 1, Vladimir Ramirez-Carrozzi 1, Rajita Pappu 1, Steven E Kauder 1, Karen Toy 1, Connie Ha 1, Zora Modrusan 1, Lawren C Wu 1, Harold R Collard 2, Paul J Wolters 2, Jackson G Egen 1, Joseph R Arron 3
E-MTAB-2091	C. Poussin, C. Mathis, L.G. Alexopoulos, D.E. Messinis, R.H.J. Dulize, V. Belcastro, I. N. Melas, T. Sakellaropoulos, K. Rhrissorrakrai, E. Bilal, P. Meyer, M. Talikka, S. Boué, R. Norel, J.J. Rice, G. Stolovitzky, N. V. Ivanov, M. C. Peitsch and J. Hoeng
GSE36287	William R Swindell 1, Xianying Xing, Philip E Stuart, Cynthia S Chen, Abhishek Aphale, Rajan P Nair, John J Voorhees, James T Elder, Andrew Johnston, Johann E Gudjonsson
