setting_id	time_series	cell_type	ligand	nr_allgenes	nr_upgenes	nr_downgenes	nr_degenes	fraction_degenes	fraction_shared_degenes	nr_upgenes_05	nr_downgenes_05	nr_degenes_05
GSE18648-BMP4	FALSE	fibrocartilage	BMP4	15788	104	98	202	0.012794527	0.846534653	101	96	197
GSE18648-TGFB1	FALSE	fibrocartilage	TGFB1	15788	43	77	120	0.007600709	0.875	39	75	114
GSE23675-NODAL	FALSE	stem cell	NODAL	15780	214	171	385	0.024397972	0.742857143	212	170	382
GSE46903-IL4(1)	FALSE	immune	IL4	16602	104	76	180	0.010842067	0.972222222	101	75	176
GSE46903-TNF	FALSE	immune	TNF	16602	165	139	304	0.018311047	0.970394737	160	138	298
GSE46903-IFNG(1)	FALSE	immune	IFNG	16602	114	136	250	0.015058427	0.98	109	134	243
GSE46903-IFNB1	FALSE	immune	IFNB1	16602	326	226	552	0.033249006	0.695652174	318	221	539
GSE46903-IL13	FALSE	immune	IL13	16602	125	65	190	0.011444404	0.926315789	113	62	175
GSE46903-IFNG+TNF	FALSE	immune	TNF+IFNG	16602	234	202	436	0.026261896	0.917431193	220	191	411
GSE47542-IL4	FALSE	fibroblast	IL4	14371	132	123	255	0.017744068	0.937254902	118	116	234
GSE47542-IL13	FALSE	fibroblast	IL13	14371	87	103	190	0.01322107	0.936842105	78	94	172
GSE47542-TNF(1)	FALSE	fibroblast	TNF	14371	281	414	695	0.048361283	0.833093525	273	352	625
GSE47542-TNF(2)	FALSE	fibroblast	TNF	14371	124	205	329	0.022893327	0.963525836	120	202	322
GSE27195-CNTF	FALSE	glial	CNTF	16008	0	110	110	0.006871564	0.863636364	0	35	35
GSE7216-IL19	FALSE	keratinocyte	IL19	16501	66	45	111	0.006726865	0.963963964	48	35	83
GSE7216-IL20	FALSE	keratinocyte	IL20	16501	151	109	260	0.015756621	0.930769231	110	96	206
GSE7216-IL22	FALSE	keratinocyte	IL22	16501	378	323	701	0.042482274	0.868758916	334	281	615
GSE7216-IL24	FALSE	keratinocyte	IL24	16501	282	190	472	0.028604327	0.93220339	244	155	399
GSE7216-IL1B	FALSE	keratinocyte	IL1B	16501	272	124	396	0.023998546	0.838383838	212	94	306
GSE7216-FGF7	FALSE	keratinocyte	FGF7	16501	135	161	296	0.017938307	0.837837838	108	128	236
GSE7216-IFNG	FALSE	keratinocyte	IFNG	16501	52	180	232	0.014059754	0.900862069	32	156	188
GSE44732-IL27	FALSE	immune	IL27	16756	1	74	75	0.004476009	0.973333333	1	52	53
GSE59237-TSLP	FALSE	immune	TSLP	16500	2	46	48	0.002909091	0.895833333	0	40	40
GSE15062-TNF+LTB	FALSE	smooth muscle cell	TNF+LTB	16008	18	125	143	0.008933033	0.93006993	9	96	105
GSE46564-PDGFB	FALSE	pericyte	PDGFB	16927	249	410	659	0.038931884	0.8892261	237	396	633
GSE74847-TNFSF11	FALSE	immune	TNFSF11	17213	232	428	660	0.038343113	0.789393939	231	428	659
GSE28569-TGFB1	FALSE	fibroblast	TGFB1	16518	455	489	944	0.057149776	0.847457627	416	467	883
GSE17782-TGFB3	FALSE	stem cell	TGFB3	16330	46	34	80	0.004898959	0.9375	0	1	1
E-MTAB-2091-EGF	FALSE	epithelial	EGF	16128	85	65	150	0.009300595	0.973333333	84	65	149
E-MTAB-2091-IFNG	FALSE	epithelial	IFNG	16128	127	345	472	0.029265873	0.938559322	124	344	468
E-MTAB-2091-IL1B	FALSE	epithelial	IL1B	16128	50	61	111	0.00688244	0.936936937	43	61	104
E-MTAB-2091-IL4	FALSE	epithelial	IL4	16128	16	58	74	0.004588294	0.959459459	13	58	71
E-MTAB-2091-INS	FALSE	epithelial	INS	16128	84	26	110	0.006820437	0.809090909	71	22	93
E-MTAB-2091-TGFA	FALSE	epithelial	TGFA	16128	88	103	191	0.011842758	0.942408377	88	101	189
E-MTAB-2091-TNF	FALSE	epithelial	TNF	16128	11	47	58	0.00359623	0.982758621	10	47	57
E-MTAB-2091-PROK2	FALSE	epithelial	PROK2	16128	52	6	58	0.00359623	0.810344828	46	5	51
GSE19098-VEGFA(1)	FALSE	endothelial	VEGFA	16501	224	172	396	0.023998546	0.972222222	192	142	334
GSE19098-VEGFA(2)	FALSE	endothelial	VEGFA	16501	282	308	590	0.035755409	0.916949153	264	275	539
GSE6789-IL1B	FALSE	fibroblast	IL1B	16008	49	180	229	0.014305347	0.925764192	49	180	229
GSE72791-IL12B	FALSE	immune	IL12B	16008	0	40	40	0.002498751	1	0	38	38
GSE72791-IL12B+IL33	FALSE	immune	IL12B+IL33	16008	0	37	37	0.002311344	1	0	37	37
GSE23952-TGFB1	FALSE	carcinoma	TGFB1	16501	121	185	306	0.018544331	0.944444444	121	185	306
GSE36287-TNF	FALSE	keratinocyte	TNF	16501	362	304	666	0.04036119	0.897897898	327	260	587
GSE36287-IFNG	FALSE	keratinocyte	IFNG	16501	407	472	879	0.053269499	0.937428896	381	446	827
GSE36287-IL4	FALSE	keratinocyte	IL4	16501	14	41	55	0.003333131	0.945454545	5	33	38
GSE36287-IFNA1	FALSE	keratinocyte	IFNA1	16501	4	28	32	0.001939276	1	3	25	28
GSE36287-IL17A	FALSE	keratinocyte	IL17A	16501	2	21	23	0.001393855	1	1	16	17
GSE68164-TGFB1	FALSE	fibroblast	TGFB1	17485	358	287	645	0.036888762	0.894573643	321	271	592
GSE17708-TGFB1	FALSE	carcinoma	TGFB1	16501	20	35	55	0.003333131	0.927272727	20	35	55
GSE2059-IL15	FALSE	immune	IL15	12084	1	28	29	0.002399868	0.965517241	1	25	26
GSE2059-IL21	FALSE	immune	IL21	12084	32	63	95	0.007861635	0.947368421	27	57	84
GSE2059-IL15+IL21	FALSE	immune	IL15+IL21	12084	106	122	228	0.018867925	0.855263158	89	91	180
GSE43700-IL10	FALSE	immune	IL10	16501	254	387	641	0.038846131	0.96099844	241	380	621
GSE16416-TGFB1	FALSE	fibroblast	TGFB1	16501	38	95	133	0.008060118	0.977443609	34	91	125
GSE26656-WNT1(1)	FALSE	melanoma	WNT1	16501	128	228	356	0.02157445	0.873595506	128	227	355
GSE26656-WNT1(2)	FALSE	melanoma	WNT1	16501	134	315	449	0.027210472	0.933184855	133	315	448
GSE32199-BMP2	FALSE	endoderm	BMP2	16008	37	115	152	0.009495252	0.888157895	26	81	107
GSE29316-SHH	FALSE	fibroblast	SHH	16501	6	34	40	0.002424096	0.95	6	34	40
GSE42565-SHH	FALSE	neural embryoid	SHH	16008	7	66	73	0.00456022	0.767123288	4	49	53
GSE4936-SHH	FALSE	neural embryoid	SHH	16008	3	18	21	0.001311844	0.904761905	3	18	21
GSE27455-WNT3A	FALSE	stem cell	WNT3A	16008	79	209	288	0.017991004	0.8125	78	209	287
GSE60880-TGFB1	FALSE	fibroblast	TGFB1	11839	133	202	335	0.028296309	0.967164179	133	202	335
GSE32975-EGF	FALSE	keratinocyte	EGF	16501	8	31	39	0.002363493	0.948717949	5	26	31
GSE32975-TNF	FALSE	keratinocyte	TNF	16501	2	95	97	0.005878432	0.989690722	2	87	89
GSE32423-IL4	FALSE	immune	IL4	16008	28	74	102	0.006371814	0.980392157	15	57	72
GSE32423-IL4+IL7	FALSE	immune	IL7+IL4	16008	76	136	212	0.013243378	0.886792453	50	102	152
GSE46903-IL4(2)	TRUE	immune	IL4	16602	NA	NA	115	0.006926876	0.973913043	NA	NA	92
GSE46903-IFNG(2)	TRUE	immune	IFNG	16602	NA	NA	277	0.016684737	0.916967509	NA	NA	226
GSE5542-IFNG	TRUE	carcinoma	IFNG	11839	NA	NA	163	0.013768055	0.926380368	NA	NA	146
GSE71404-hHGF	TRUE	carcinoma	HGF	16501	NA	NA	302	0.018301921	0.940397351	NA	NA	298
GSE71404-mHGF	TRUE	carcinoma	HGF	16501	NA	NA	404	0.024483365	0.915841584	NA	NA	403
GSE71404-TAC1	TRUE	carcinoma	TAC1	16501	NA	NA	373	0.022604691	0.930294906	NA	NA	369
GSE9977-IFNG	TRUE	fibroblast	IFNG	16008	NA	NA	123	0.007683658	0.943089431	NA	NA	120
GSE9977-IFNA1	TRUE	fibroblast	IFNA1	16008	NA	NA	113	0.007058971	0.92920354	NA	NA	110
GSE6653-TGFB1	TRUE	epithelial	TGFB1	16501	NA	NA	76	0.004605781	1	NA	NA	73
GSE84500-BMP2	TRUE	stem cell	BMP2	16501	NA	NA	849	0.051451427	0.951707892	NA	NA	849
GSE15062-TNF	TRUE	smooth muscle cell	TNF	16008	NA	NA	38	0.002373813	0.868421053	NA	NA	33
GSE40017-CXCL12(1)	TRUE	carcinoma	CXCL12	16261	NA	NA	185	0.011376914	0.913513514	NA	NA	185
GSE40017-CXCL12(2)	TRUE	carcinoma	CXCL12	16261	NA	NA	246	0.015128221	0.910569106	NA	NA	246
GSE40017-CXCL12(3)	TRUE	carcinoma	CXCL12	16261	NA	NA	114	0.007010639	0.938596491	NA	NA	113
GSE27467-GNRH1	TRUE	epithelial	GNRH1	16906	NA	NA	214	0.012658228	0.813084112	NA	NA	202
GSE43955-IL6+TGFB1	TRUE	immune	TGFB1+IL6	12084	NA	NA	465	0.038480636	0.853763441	NA	NA	455
GSE31193-IFNL3	TRUE	hepatocyte	IFNL3	16501	NA	NA	328	0.019877583	0.865853659	NA	NA	326
GSE31193-IFNA1	TRUE	hepatocyte	IFNA1	16501	NA	NA	140	0.008484334	1	NA	NA	139
GSE26834-IGF1	TRUE	epithelial	IGF1	11839	NA	NA	847	0.071543205	0.835891381	NA	NA	816
GSE2120-GH1	TRUE	adipocyte	GH1	8230	NA	NA	51	0.006196841	0.921568627	NA	NA	40
GSE1791-NMU	TRUE	immune	NMU	8228	NA	NA	171	0.020782693	0.812865497	NA	NA	120
GSE6085-IL2	TRUE	immune	IL2	16008	NA	NA	412	0.025737131	0.783980583	NA	NA	407
GSE59184-IL4	TRUE	immune	IL4	16501	NA	NA	580	0.035149385	0.946551724	NA	NA	547
GSE59184-IL10	TRUE	immune	IL10	16501	NA	NA	796	0.048239501	0.944723618	NA	NA	766
GSE59184-IL15	TRUE	immune	IL15	16501	NA	NA	988	0.059875159	0.917004049	NA	NA	966
GSE7561-IGF1	TRUE	epithelial	IGF1	11839	NA	NA	312	0.026353577	0.980769231	NA	NA	309
GSE14256-PDGFB	TRUE	fibroblast	PDGFB	11839	NA	NA	436	0.036827435	0.98853211	NA	NA	418
GSE14256-FGF2	TRUE	fibroblast	FGF2	11839	NA	NA	584	0.049328491	0.979452055	NA	NA	574
GSE58203-IL1B	TRUE	fibroblast	IL1B	15751	NA	NA	792	0.050282522	0.948232323	NA	NA	778
GSE58203-PDGFD	TRUE	fibroblast	PDGFD	15751	NA	NA	818	0.051933211	0.947432763	NA	NA	811
GSE10315-BMP2	TRUE	stem cell	BMP2	16501	NA	NA	568	0.034422156	0.860915493	NA	NA	491
GSE10315-TGFB3	TRUE	stem cell	TGFB3	16501	NA	NA	720	0.043633719	0.908333333	NA	NA	652
GSE9169-BDNF(1)	TRUE	neuroblastoma	BDNF	16501	NA	NA	1028	0.062299255	0.885214008	NA	NA	986
GSE9169-BDNF(2)	TRUE	neuroblastoma	BDNF	16501	NA	NA	945	0.057269256	0.940740741	NA	NA	908
GSE10311-BMP2	TRUE	osteoblast	BMP2	16501	NA	NA	73	0.004423974	1	NA	NA	71
GSE69639-TNF(1)	TRUE	carcinoma	TNF	11839	NA	NA	205	0.017315652	1	NA	NA	202
GSE69639-TNF(2)	TRUE	carcinoma	TNF	11839	NA	NA	148	0.012501056	0.959459459	NA	NA	137
GSE69639-EGF	TRUE	carcinoma	EGF	11839	NA	NA	19	0.001604865	1	NA	NA	16
GSE69639-TNF+EGF (1)	TRUE	carcinoma	TNF+EGF	11839	NA	NA	228	0.019258383	1	NA	NA	224
GSE69639-TNF+INS (1)	TRUE	carcinoma	TNF+INS	11839	NA	NA	292	0.024664245	0.969178082	NA	NA	281
GSE69639-TNF+EGF (2)	TRUE	carcinoma	TNF+EGF	11839	NA	NA	128	0.010811724	1	NA	NA	125
