ligand	1	2	3	4	5	6	7	8	9
BMP2	0.864335664	0.123076923	0.012587413	0	NA	NA	NA	NA	NA
CXCL12	0.688481675	0.196335079	0.115183246	NA	NA	NA	NA	NA	NA
EGF	0.878524946	0.09978308	0.017353579	0.004338395	0	NA	NA	NA	NA
IFNA1	0.68627451	0.240196078	0.068627451	NA	0.004901961	NA	NA	NA	NA
IFNG	0.760194766	0.131466829	0.050517346	0.022519781	0.021911138	0.009738284	0.003651856	NA	NA
IL1B	0.807390817	0.152295633	0.031354983	0.007838746	0.001119821	NA	NA	NA	NA
IL4	0.824751581	0.130081301	0.037940379	0.006323397	0	9.03E-04	0	NA	NA
SHH	0.87394958	0.12605042	0	NA	NA	NA	NA	NA	NA
TGFB1	0.78187404	0.142857143	0.047619048	0.015873016	0.007168459	0.003584229	0.001024066	0	NA
TNF	0.775871314	0.150134048	0.04075067	0.018766756	0.00536193	0.004289544	0.002680965	0.002144772	0
